eval_id,query_id,prompt_text,band,song,url,score,comment
23,R13,헬스장에서 웨이트 할 때 들을 노래.,poppin_party,STAR BEAT!～ホシノコドウ～,https://youtu.be/RtKwXh18gkc,1,
24,R20,천천히 달아오르는 파티 분위기로 만들어줘.,roselia,Talk to My Tone,https://youtu.be/ZtHU3JLdNoU,3,"천천히 달아오르는 느낌은 맞는데, 파티 분위기는 아닌듯."
25,R06,hello happy world 노래로 밝고 유쾌하게 놀고 싶어.,hello_happy_world,せかいのっびのびトレジャー！,https://youtu.be/t-YRHYvIqEE,4,
26,R04,mygo 노래로 조용히 감성에 잠기고 싶어.,mygo,詩超絆,https://youtu.be/OenakjvUs24,5,
27,R24,운동 마무리하고 차분히 식히는 쿨다운 느낌으로.,poppin_party,ヴァンパイア (Cover),https://youtu.be/I_TIPc02Ros,4,
28,R19,"달리기 준비운동부터 본운동, 마무리까지 이어지는 러닝 플레이리스트.",raise_a_suilen,Ray of hope,https://youtu.be/bjHImc6cTqE,5,
29,R24,운동 마무리하고 차분히 식히는 쿨다운 느낌으로.,roselia,覚悟のLiberation,https://youtu.be/ncY1KiGbQk8,2,쿨다운이라기 보다 웜업하는 느낌.
30,R08,미친듯이 텐션 폭발하는 노래로 채워줘.,poppin_party,CiRCLING,https://youtu.be/Zj4qzqS--UY,3,하이 텐션이긴 한데 미친듯이 텐션 폭발까지는 아닌 거 같기도.
31,R23,"새벽 드라이브, 조용히 출발해서 해뜰 때쯤 신나지는 느낌으로.",mugendai_mutype,グラディエント,https://youtu.be/QMcU8T8wOd4,5,
32,R11,중간 정도 텐션에 살짝 우울한 느낌으로.,poppin_party,Returns,https://youtu.be/zWKV5yudE18,5,
33,R16,빨래 개면서 듣기 좋은 노래.,poppin_party,Five Letters,https://youtu.be/-rDKKJcyyTU,4,"빨래를 갠다는건 감정이 있다기보다, 그냥 일상적인 텐션 정도면 괜찮다로 이해하면 되려나? 그렇게 생각하면 나쁘지 않음."
34,R24,운동 마무리하고 차분히 식히는 쿨다운 느낌으로.,ave_mujica,Mas?uerade Rhapsody Re?uest,https://youtu.be/VLxM8q6PF4I,1,다시 웜업되는 느낌. 
35,R12,살짝 들뜨는데 시끄럽진 않은 노래로.,poppin_party,SAKURA MEMORIES,https://youtu.be/lQF_5FOrl7k,4,
36,R08,미친듯이 텐션 폭발하는 노래로 채워줘.,poppin_party,勇気Limit！,https://youtu.be/HNpDj7g9Fd0,4,
37,R03,raise a suilen 노래로 미친듯이 달리고 싶어.,raise_a_suilen,Repaint,https://youtu.be/eJp3_buirj4,5,
38,R19,"달리기 준비운동부터 본운동, 마무리까지 이어지는 러닝 플레이리스트.",raise_a_suilen,DEPARTURES (Cover),https://youtu.be/TLq1MbV686M,5,
39,R04,mygo 노래로 조용히 감성에 잠기고 싶어.,mygo,名無声,https://youtu.be/DEyXwtinmfs,4,
40,R01,poppin'party 노래로 신나게 하루 시작하고 싶어.,raise_a_suilen,Just Awake (Cover),https://youtu.be/nyn9h6BraQ4,1,"신나는 느낌은 맞는데, 이거는 RAS 노래야. 잘못 골랐어."
41,R15,장거리 운전할 때 졸음 안 오게 들을 노래.,roselia,Original Call,https://youtu.be/Rfw6OoJj3Cw,4,
42,R19,"달리기 준비운동부터 본운동, 마무리까지 이어지는 러닝 플레이리스트.",raise_a_suilen,ゴーカ！ごーかい！？ファントムシーフ！,https://youtu.be/sooblFkVWdo,4,
43,R15,장거리 운전할 때 졸음 안 오게 들을 노래.,mygo,素寄曲,https://youtu.be/uZSAArx6jKM,5,
44,R04,mygo 노래로 조용히 감성에 잠기고 싶어.,mygo,迷星叫,https://youtu.be/V6gq-6dAbHA,4,mygo 감성에 가까운 노래. 조용한 노래는 아님.
45,R20,천천히 달아오르는 파티 분위기로 만들어줘.,poppin_party,ミライトレイン,https://youtu.be/amlyxSdWmTg,4,
46,R03,raise a suilen 노래로 미친듯이 달리고 싶어.,raise_a_suilen,FIVE as ONE,https://youtu.be/rRo4HYj654A,4,
47,R17,친구 생일파티에서 틀 노래.,poppin_party,STAR BEAT!～ホシノコドウ～,https://youtu.be/RtKwXh18gkc,4,
48,R13,헬스장에서 웨이트 할 때 들을 노래.,poppin_party,ディスカバリー！ (Cover),https://youtu.be/EHmHYlveZTI,4,
49,R02,roselia 노래 중에 무겁고 진지한 분위기로 틀어줘.,roselia,Singing “OURS”,https://youtu.be/rGkei9v-jz4,5,
50,R18,잠들기 전 조명 끄고 듣는 노래.,morfonica,esora no clover,https://youtu.be/fGgKN9_egCM,3,"애매함... 잠들기 전에 들을 수도 있는 곡. 그러나 이미지를 포근한 이미지를 연상하면 안어울리고, 억울함 속 잠자리를 청하는 이미지라면 어울리는 그런 느낌."
51,R08,미친듯이 텐션 폭발하는 노래로 채워줘.,poppin_party,花咲く未来に,https://youtu.be/rTVN1M1DNx8,4,
52,R20,천천히 달아오르는 파티 분위기로 만들어줘.,hello_happy_world,Listen to Smile!,https://youtu.be/5Bz8TBMardI,4,
53,R22,공부 시작할 때 차분하다가 집중력 오르면서 점점 몰입되는 느낌으로.,roselia,鳥の詩,https://youtu.be/Y5CTSrakFlY,5,
54,R09,햇살 가득한 것처럼 밝은 노래 듣고 싶어.,afterglow,いつも通りのBrand new days,https://youtu.be/Ku2GV2VkQcA,4,
55,R17,친구 생일파티에서 틀 노래.,poppin_party,クリスマスのうた,https://youtu.be/EMwYk4qPK1k,4,
56,R06,hello happy world 노래로 밝고 유쾌하게 놀고 싶어.,hello_happy_world,ハッピーサマーウェディング,https://youtu.be/SQrYhJ6x7kE,5,
57,R24,운동 마무리하고 차분히 식히는 쿨다운 느낌으로.,roselia,Ringing Bloom,https://youtu.be/h4cEEXCPO8M,2,웜업에 가까운 노래.
58,R18,잠들기 전 조명 끄고 듣는 노래.,roselia,悪魔の子 (Cover),https://youtu.be/kHdgtPHuya8,5,
59,R21,가라앉은 기분에서 서서히 힘을 되찾는 느낌으로.,roselia,Singing “OURS”,https://youtu.be/rGkei9v-jz4,5,
60,R01,poppin'party 노래로 신나게 하루 시작하고 싶어.,pastel_palettes,SAKURAスキップ,https://youtu.be/DxUyKQwPeWU,1,신나는 느낌은 맞음. 그러나 pastel palette 곡을 가져옴.
61,R13,헬스장에서 웨이트 할 때 들을 노래.,afterglow,GO!!! (Cover),https://youtu.be/FDflFAr27rE,5,
62,R20,천천히 달아오르는 파티 분위기로 만들어줘.,poppin_party,新しい季節に,https://youtu.be/bqKoweXOY1I,4,
63,R16,빨래 개면서 듣기 좋은 노래.,roselia,鳥の詩,https://youtu.be/Y5CTSrakFlY,4,무난한 감성이라면 괜찮은듯.
64,R03,raise a suilen 노래로 미친듯이 달리고 싶어.,raise_a_suilen,Just Awake (Cover),https://youtu.be/nyn9h6BraQ4,5,
65,R21,가라앉은 기분에서 서서히 힘을 되찾는 느낌으로.,mygo,名無声,https://youtu.be/DEyXwtinmfs,5,
66,R18,잠들기 전 조명 끄고 듣는 노래.,ave_mujica,in your blue eyes,https://youtu.be/kVMuEQ3uXWc,5,
67,R24,운동 마무리하고 차분히 식히는 쿨다운 느낌으로.,poppin_party,ミュージック・アワー (Cover),https://youtu.be/dwYnaJHhnmw,2,웜업 느낌.
68,R13,헬스장에서 웨이트 할 때 들을 노래.,afterglow,極彩色,https://youtu.be/YvpL2A3FZk4,5,
69,R14,독서할 때 배경으로 틀어놓을 노래.,poppin_party,Five Letters,https://youtu.be/-rDKKJcyyTU,5,
70,R11,중간 정도 텐션에 살짝 우울한 느낌으로.,poppin_party,大好き！,https://youtu.be/NW5DnKrpr8M,4,
71,R10,칠흑같이 어둡고 무거운 노래 듣고 싶어.,ave_mujica,碧い瞳の中に,https://youtu.be/bLOb7kC9Jns,5,
72,R09,햇살 가득한 것처럼 밝은 노래 듣고 싶어.,poppin_party,クリスマスのうた,https://youtu.be/EMwYk4qPK1k,5,
73,R07,완전 조용하고 힘 빠진 노래로 채워줘.,roselia,Sage der Rosen,https://youtu.be/z0jU3sNiA44,1,오페라 코러스가 풍부한 노래. 웅장하고 서사적인 느낌이 지배적.
74,R15,장거리 운전할 때 졸음 안 오게 들을 노래.,afterglow,Off we go.,https://youtu.be/bg2UuSTbyqk,4,
75,R02,roselia 노래 중에 무겁고 진지한 분위기로 틀어줘.,roselia,BLACK SHOUT,https://youtu.be/MmnU-s1TdsI,5,
76,R13,헬스장에서 웨이트 할 때 들을 노래.,poppin_party,クリスマスのうた,https://youtu.be/EMwYk4qPK1k,1,
77,R21,가라앉은 기분에서 서서히 힘을 되찾는 느낌으로.,ave_mujica,素晴らしき世界 でも どこにもない場所,https://youtu.be/MyI6sKuV4kY,5,어둠의 힘을 마치 되찾아가는 느낌이긴 함.
78,R22,공부 시작할 때 차분하다가 집중력 오르면서 점점 몰입되는 느낌으로.,raise_a_suilen,DEPARTURES (Cover),https://youtu.be/TLq1MbV686M,4,
79,R14,독서할 때 배경으로 틀어놓을 노래.,poppin_party,White Afternoon,https://youtu.be/Q7Y-vskuNVQ,4,
80,R09,햇살 가득한 것처럼 밝은 노래 듣고 싶어.,afterglow,GO!!! (Cover),https://youtu.be/FDflFAr27rE,4,
81,R17,친구 생일파티에서 틀 노래.,hello_happy_world,ドレミファロンド (Cover),https://youtu.be/IjlX1R75PRw,4,
82,R05,ave mujica 노래로 스산하고 어두운 분위기 잡고 싶어.,ave_mujica,碧い瞳の中に,https://youtu.be/bLOb7kC9Jns,5,
83,R23,"새벽 드라이브, 조용히 출발해서 해뜰 때쯤 신나지는 느낌으로.",poppin_party,White Afternoon,https://youtu.be/Q7Y-vskuNVQ,4,
84,R22,공부 시작할 때 차분하다가 집중력 오르면서 점점 몰입되는 느낌으로.,mugendai_mutype,グラディエント,https://youtu.be/QMcU8T8wOd4,4,
85,R11,중간 정도 텐션에 살짝 우울한 느낌으로.,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,https://youtu.be/Eq0Mo7Ca02I,4,
86,R23,"새벽 드라이브, 조용히 출발해서 해뜰 때쯤 신나지는 느낌으로.",pastel_palettes,ホワイト ノスタルジア,https://youtu.be/oN98BBBIOnw,4,
87,R05,ave mujica 노래로 스산하고 어두운 분위기 잡고 싶어.,ave_mujica,Crucifix X,https://youtu.be/XP8al1l38Po,5,
88,R02,roselia 노래 중에 무겁고 진지한 분위기로 틀어줘.,roselia,悪魔の子 (Cover),https://youtu.be/kHdgtPHuya8,5,
89,R05,ave mujica 노래로 스산하고 어두운 분위기 잡고 싶어.,ave_mujica,Symbol IV : Earth,https://youtu.be/WqQPM0dZpXc,4,"스산하고 어둡기는 한데, 흙냄새가 거칠게 연상되는 곡."
90,R07,완전 조용하고 힘 빠진 노래로 채워줘.,roselia,悪魔の子 (Cover),https://youtu.be/kHdgtPHuya8,5,
91,R23,"새벽 드라이브, 조용히 출발해서 해뜰 때쯤 신나지는 느낌으로.",morfonica,Sonorous,https://youtu.be/Wl5LZ3iJNzM,5,
92,R22,공부 시작할 때 차분하다가 집중력 오르면서 점점 몰입되는 느낌으로.,poppin_party,White Afternoon,https://youtu.be/Q7Y-vskuNVQ,4,
93,R18,잠들기 전 조명 끄고 듣는 노래.,poppin_party,White Afternoon,https://youtu.be/Q7Y-vskuNVQ,4,
94,R14,독서할 때 배경으로 틀어놓을 노래.,afterglow,COLORS (Cover),https://youtu.be/nUw5V5zupYQ,1,
95,R01,poppin'party 노래로 신나게 하루 시작하고 싶어.,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,https://youtu.be/wPDP9eT2-Cs,1,HHW의 노래임. 신나는 분위기는 맞음.
96,R13,헬스장에서 웨이트 할 때 들을 노래.,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,https://youtu.be/Ibs-CJd-qws,1,
97,R08,미친듯이 텐션 폭발하는 노래로 채워줘.,pastel_palettes,SAKURAスキップ,https://youtu.be/DxUyKQwPeWU,2,미친듯이 텐션 폭발하는 느낌은 아님.
98,R10,칠흑같이 어둡고 무거운 노래 듣고 싶어.,morfonica,esora no clover,https://youtu.be/fGgKN9_egCM,5,
99,R15,장거리 운전할 때 졸음 안 오게 들을 노래.,pastel_palettes,Stay Alive,https://youtu.be/cC9iaoSJLqw,3,
100,R16,빨래 개면서 듣기 좋은 노래.,ave_mujica,Angles,https://youtu.be/au2A3wyiLIo,2,일상적인 느낌을 추구하는거라면 이 곡은 비애에 가득찬 느낌.
101,R03,raise a suilen 노래로 미친듯이 달리고 싶어.,raise_a_suilen,Hey-day狂騒曲(カプリチオ),https://youtu.be/dQuVrNLZOFM,4,"RAS인것도 맞고 달리는 느낌도 맞기는 한데, 이 곡은 afterglow의 원곡임. 특수한 상황이여서 RAS가 활동 전에 부른 곡임. "
102,R16,빨래 개면서 듣기 좋은 노래.,pastel_palettes,ホワイト ノスタルジア,https://youtu.be/oN98BBBIOnw,4,
103,R10,칠흑같이 어둡고 무거운 노래 듣고 싶어.,roselia,悪魔の子 (Cover),https://youtu.be/kHdgtPHuya8,5,
104,R07,완전 조용하고 힘 빠진 노래로 채워줘.,ave_mujica,Symbol IV : Earth,https://youtu.be/WqQPM0dZpXc,1,힘이 빠지는 느낌이 살짝 있음. 그러나 헤비메탈임.
105,R05,ave mujica 노래로 스산하고 어두운 분위기 잡고 싶어.,ave_mujica,The Whole Blue World,https://youtu.be/lkS9XIzWObc,5,
106,R19,"달리기 준비운동부터 본운동, 마무리까지 이어지는 러닝 플레이리스트.",raise_a_suilen,Embrace of light,https://youtu.be/7LN3sI8JE5E,4,마무리에 어울리는 노래. 쿨다운에 제격.
107,R17,친구 생일파티에서 틀 노래.,various_artists,"Here, the world",https://youtu.be/LuwRRghPD1A,4,
108,R04,mygo 노래로 조용히 감성에 잠기고 싶어.,mygo,潜在表明,https://youtu.be/ljBKERoFUZQ,5,
109,R15,장거리 운전할 때 졸음 안 오게 들을 노래.,roselia,My Dearest (Cover),https://youtu.be/PeeD7-Mek8k,4,
110,R12,살짝 들뜨는데 시끄럽진 않은 노래로.,hello_happy_world,キミがいなくちゃっ！,https://youtu.be/9itZp8utiAw,5,
111,R19,"달리기 준비운동부터 본운동, 마무리까지 이어지는 러닝 플레이리스트.",raise_a_suilen,灼熱 Bonfire!,https://youtu.be/Uh2MjQ9Q324,5,초반 스퍼트가 느껴지는 곡.
112,R22,공부 시작할 때 차분하다가 집중력 오르면서 점점 몰입되는 느낌으로.,mygo,迷星叫,https://youtu.be/V6gq-6dAbHA,3,
113,R21,가라앉은 기분에서 서서히 힘을 되찾는 느낌으로.,ave_mujica,Symbol IV : Earth,https://youtu.be/WqQPM0dZpXc,5,
114,R06,hello happy world 노래로 밝고 유쾌하게 놀고 싶어.,hello_happy_world,はれやか すこやか ぴかりんりん♪,https://youtu.be/hstT4_F2Hqg,5,
115,R01,poppin'party 노래로 신나게 하루 시작하고 싶어.,hello_happy_world,Happy! Happier! Happiest!,https://youtu.be/xpECEzVaWH8,1,HHW 노래임.
116,R12,살짝 들뜨는데 시끄럽진 않은 노래로.,roselia,陽だまりロードナイト,https://youtu.be/KjgjeK-ppd0,4,
117,R21,가라앉은 기분에서 서서히 힘을 되찾는 느낌으로.,poppin_party,キズナミュージック♪,https://youtu.be/rvKC_BDWo0o,5,밝은 기운이 서서히 올라가는 느낌.
118,R08,미친듯이 텐션 폭발하는 노래로 채워줘.,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,https://youtu.be/wPDP9eT2-Cs,4,
119,R11,중간 정도 텐션에 살짝 우울한 느낌으로.,ave_mujica,素晴らしき世界 でも どこにもない場所,https://youtu.be/MyI6sKuV4kY,2,꽤 우울한 느낌. 
120,R11,중간 정도 텐션에 살짝 우울한 느낌으로.,ave_mujica,Symbol IV : Earth,https://youtu.be/WqQPM0dZpXc,4,
121,R20,천천히 달아오르는 파티 분위기로 만들어줘.,morfonica,The Circle Of Butterflies,https://youtu.be/eMR-LxXyCKs,4,
122,R22,공부 시작할 때 차분하다가 집중력 오르면서 점점 몰입되는 느낌으로.,poppin_party,Five Letters,https://youtu.be/-rDKKJcyyTU,5,
123,R18,잠들기 전 조명 끄고 듣는 노래.,raise_a_suilen,DEPARTURES (Cover),https://youtu.be/TLq1MbV686M,1,
124,R10,칠흑같이 어둡고 무거운 노래 듣고 싶어.,raise_a_suilen,DEPARTURES (Cover),https://youtu.be/TLq1MbV686M,4,
125,R24,운동 마무리하고 차분히 식히는 쿨다운 느낌으로.,raise_a_suilen,SOUL SOLDIER,https://youtu.be/vHZF9D4gAoQ,1,본격적으로 웜업을 넘어 히트업하는 느낌.
126,R05,ave mujica 노래로 스산하고 어두운 분위기 잡고 싶어.,ave_mujica,素晴らしき世界 でも どこにもない場所,https://youtu.be/MyI6sKuV4kY,5,
127,R16,빨래 개면서 듣기 좋은 노래.,poppin_party,Light Delight,https://youtu.be/ycVVqPjxPqk,4,
