variant,query_id,trial,parse_success,raw_json,start_energy,end_energy,stage_count,stage_energies,resolved_energies
baseline,A3,3,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 60, ""interpretation_summary"": ""카페에서 편안한 분위기를 연출하는 음악을 선택했습니다."", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
baseline,A3,4,True,"{""brightness"": 0.0, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""카페에서 편안한 분위기, 잔잔한 음악으로 시간을 보내기"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,B1,0,True,"{""brightness"": 0.2, ""start_energy"": 0.15, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 70, ""interpretation_summary"": ""조용한 시작부터 천천히 달아오르는 에너지로 최고조에 도달, 그 뒤로 쿨다운으로 마무리하는 워밍업 플레이리스트"", ""tags"": [""워밍업"", ""고조"", ""마무리""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.8,4.0,,"[0.15, 0.3666666666666667, 0.5833333333333334, 0.8]"
baseline,B1,1,True,"{""brightness"": 0.5, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 70, ""interpretation_summary"": ""조용한 시작에서 점점 고조되는 워밍업, 최고조에 달한 후 쿨다운으로 마무리하는 일상적인 운동 플레이리스트"", ""tags"": [""워밍업"", ""운동"", ""고조되는"", ""쿨다운""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,B1,2,True,"{""brightness"": 0.5, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 70, ""interpretation_summary"": ""조용한 시작으로 점점 고조되는 에너지, 천천히 쿨다운하는 마무리"", ""tags"": [""워밍업"", ""고조"", ""쿨다운""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,B1,3,True,"{""brightness"": 0.4, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 70, ""interpretation_summary"": ""조용한 시작으로 점점 고조되는 에너지, 천천히 쿨다운하는 마무리"", ""tags"": [""워밍업"", ""고조"", ""쿨다운"", ""운동""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,B1,4,True,"{""brightness"": 0.2, ""start_energy"": 0.1, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 70, ""interpretation_summary"": ""조용한 시작부터 점점 고조되는 에너지로 30분을 달리며, 그 뒤에 쿨다운을 통해 40분을 마무리하는 워밍업과 쿨다운의 완벽한 조화"", ""tags"": [""워밍업"", ""쿨다운"", ""달리기"", ""고조되는""], ""song_type"": ""all"", ""same_as_previous"": false}",0.1,0.8,4.0,,"[0.1, 0.33333333333333337, 0.5666666666666668, 0.8]"
baseline,B2,0,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 20, ""interpretation_summary"": ""짧은 운동으로 몸과 마음을 활발하게 움직여 보세요"", ""tags"": [""운동"", ""활발"", ""점점 고조""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,B2,1,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.9, ""stage_count"": 4, ""target_minutes"": 20, ""interpretation_summary"": ""짧은 운동으로 몸과 마음을 활발하게 움직여 보세요"", ""tags"": [""운동"", ""강력"", ""활발""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.9,4.0,,"[0.2, 0.43333333333333335, 0.6666666666666666, 0.8999999999999999]"
baseline,B2,2,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 20, ""interpretation_summary"": ""짧은 운동으로 몸과 마음을 활발하게 움직여 보세요"", ""tags"": [""운동"", ""활발"", ""점점 고조""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,B2,3,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 20, ""interpretation_summary"": ""짧은 시간에 강력한 운동을 즐기는 분위기"", ""tags"": [""운동"", ""강력"", ""짧은""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,B2,4,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 20, ""interpretation_summary"": ""짧은 운동으로 몸과 마음을 활발하게 움직여 보세요"", ""tags"": [""운동"", ""강력"", ""활발""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,B3,0,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.1, ""stage_count"": 4, ""target_minutes"": 60, ""interpretation_summary"": ""주말 파티의 시작을 알리는 분위기 띄움, 터지는 음악으로 한 시간을 채우고, 마지막으로 잔잔한 여운을 남기며 마무리한다."", ""tags"": [""파티"", ""터지는"", ""잔잔"", ""주말""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.1,4.0,,"[0.2, 0.16666666666666669, 0.13333333333333336, 0.09999999999999999]"
baseline,B3,1,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.4, ""stage_count"": 4, ""target_minutes"": 60, ""interpretation_summary"": ""주말 파티의 시작을 알리는 분위기 띄움, 열정적인 한 시간, 그리고 마지막의 여운"", ""tags"": [""파티"", ""고조되는"", ""주말"", ""잔잔""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.4,4.0,,"[0.2, 0.26666666666666666, 0.33333333333333337, 0.4]"
baseline,B3,2,True,"{""brightness"": 0.9, ""start_energy"": 0.2, ""end_energy"": 0.3, ""stage_count"": 4, ""target_minutes"": 60, ""interpretation_summary"": ""파티를 여는 분위기, 열정적인 분위기, 고조되는 분위기, 잔잔한 여운"", ""tags"": [""파티"", ""분위기"", ""열정"", ""고조"", ""잔잔""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.3,4.0,,"[0.2, 0.23333333333333334, 0.26666666666666666, 0.3]"
baseline,B3,3,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.4, ""stage_count"": 4, ""target_minutes"": 60, ""interpretation_summary"": ""파티를 여는 분위기, 고조되는 중간, 여운 남는 마무리"", ""tags"": [""파티"", ""고조"", ""여운""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.4,4.0,,"[0.2, 0.26666666666666666, 0.33333333333333337, 0.4]"
baseline,B3,4,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.4, ""stage_count"": 4, ""target_minutes"": 60, ""interpretation_summary"": ""주말 파티의 시작을 알리는 밝은 분위기와 함께, 점점 고조되어 가는 열정적인 분위기, 그리고 마지막에 잔잔한 여운을 남기는 조용한 분위기"", ""tags"": [""파티"", ""고조되는"", ""주말"", ""잔잔""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.4,4.0,,"[0.2, 0.26666666666666666, 0.33333333333333337, 0.4]"
baseline,C1,0,True,"{""brightness"": -0.5, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""조용하고 잔잔한 음악으로 편안한 시간을 보내세요"", ""tags"": [""조용"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,C1,1,True,"{""brightness"": -0.5, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""조용하고 잔잔한 음악으로 편안한 시간을 보내세요"", ""tags"": [""조용"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,C1,2,True,"{""brightness"": -0.5, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""조용하고 잔잔한 음악으로 편안한 시간을 보내세요"", ""tags"": [""조용"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,C1,3,True,"{""brightness"": -1.0, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""조용하고 잔잔한 음악으로 편안한 시간을 보내세요"", ""tags"": [""조용"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,C1,4,True,"{""brightness"": -0.7, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""조용하고 잔잔한 음악으로 편안한 시간을 보내세요"", ""tags"": [""조용"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,C2,0,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.9, ""stage_count"": 3, ""target_minutes"": 120, ""interpretation_summary"": ""신나는 파티 분위기, 즐거운 밤을 위한 음악"", ""tags"": [""파티"", ""신나는"", ""밝은"", ""즐거운""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.9,3.0,,"[0.7, 0.8, 0.9]"
baseline,C2,1,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.9, ""stage_count"": 3, ""target_minutes"": 120, ""interpretation_summary"": ""신나는 파티 분위기, 즐거운 밤을 위한 음악"", ""tags"": [""파티"", ""신나는"", ""즐거운"", ""밝은""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.9,3.0,,"[0.7, 0.8, 0.9]"
baseline,C2,2,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.9, ""stage_count"": 3, ""target_minutes"": 120, ""interpretation_summary"": ""신나는 파티 분위기, 에너지 넘치는 음악으로 밤을 즐기다"", ""tags"": [""파티"", ""신나는"", ""밤"", ""에너지""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.9,3.0,,"[0.7, 0.8, 0.9]"
baseline,C2,3,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.85, ""stage_count"": 3, ""target_minutes"": 120, ""interpretation_summary"": ""신나는 파티 분위기, 즐거운 밤을 위한 음악"", ""tags"": [""파티"", ""신나"", ""밝은"", ""즐거운""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.85,3.0,,"[0.7, 0.7749999999999999, 0.85]"
baseline,C2,4,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.85, ""stage_count"": 3, ""target_minutes"": 120, ""interpretation_summary"": ""신나는 파티 분위기, 에너지 넘치는 음악으로 밤을 즐기다"", ""tags"": [""파티"", ""신나는"", ""밝은"", ""에너지""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.85,3.0,,"[0.7, 0.7749999999999999, 0.85]"
baseline,C3,0,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 4, ""target_minutes"": 120, ""interpretation_summary"": ""주말을 여는 차분한 드라이브에서 점점 고조되는 설렘으로 시작하는 신나는 여행"", ""tags"": [""드라이브"", ""설렘"", ""주말"", ""고조되는""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,4.0,,"[0.2, 0.4, 0.6000000000000001, 0.8]"
baseline,C3,1,True,"{""brightness"": 0.7, ""start_energy"": 0.25, ""end_energy"": 0.85, ""stage_count"": 4, ""target_minutes"": 120, ""interpretation_summary"": ""주말을 여는 즐거운 드라이브, 점점 달아오르는 한 시간"", ""tags"": [""드라이브"", ""설렘"", ""주말"", ""고조되는""], ""song_type"": ""all"", ""same_as_previous"": false}",0.25,0.85,4.0,,"[0.25, 0.44999999999999996, 0.6499999999999999, 0.85]"
baseline,C3,2,True,"{""brightness"": 0.7, ""start_energy"": 0.25, ""end_energy"": 0.85, ""stage_count"": 4, ""target_minutes"": 120, ""interpretation_summary"": ""주말을 여는 즐거운 드라이브, 천천히 시작해서 점점 신나지는 음악으로"", ""tags"": [""드라이브"", ""주말"", ""고조되는"", ""신나는""], ""song_type"": ""all"", ""same_as_previous"": false}",0.25,0.85,4.0,,"[0.25, 0.44999999999999996, 0.6499999999999999, 0.85]"
baseline,C3,3,True,"{""brightness"": 0.7, ""start_energy"": 0.25, ""end_energy"": 0.85, ""stage_count"": 4, ""target_minutes"": 120, ""interpretation_summary"": ""주말을 여는 천천히 시작하는 드라이브, 점점 달아오르는 설렘과 즐거움"", ""tags"": [""드라이브"", ""설렘"", ""주말"", ""고조되는""], ""song_type"": ""all"", ""same_as_previous"": false}",0.25,0.85,4.0,,"[0.25, 0.44999999999999996, 0.6499999999999999, 0.85]"
baseline,C3,4,True,"{""brightness"": 0.7, ""start_energy"": 0.25, ""end_energy"": 0.85, ""stage_count"": 4, ""target_minutes"": 120, ""interpretation_summary"": ""주말을 여는 즐거운 드라이브, 천천히 시작해서 점점 신나지는 음악으로"", ""tags"": [""드라이브"", ""주말"", ""신나"", ""고조되는""], ""song_type"": ""all"", ""same_as_previous"": false}",0.25,0.85,4.0,,"[0.25, 0.44999999999999996, 0.6499999999999999, 0.85]"
baseline,D1,0,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.8, ""stage_count"": 3, ""target_minutes"": 40, ""interpretation_summary"": ""러닝을 위한 준비와 본 운동, 마무리 스트레칭으로 가득한 플레이리스트"", ""tags"": [""러닝"", ""스트레칭"", ""운동"", ""준비""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.8,3.0,,"[0.2, 0.5, 0.8]"
baseline,D1,1,True,"{""brightness"": 0.8, ""start_energy"": 0.3, ""end_energy"": 0.85, ""stage_count"": 3, ""target_minutes"": 40, ""interpretation_summary"": ""러닝을 위한 준비와 본 운동, 마지막으로 스트레칭으로 가득한 에너지 넘치는 플레이리스트"", ""tags"": [""러닝"", ""스트레칭"", ""운동"", ""준비""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.85,3.0,,"[0.3, 0.575, 0.8500000000000001]"
baseline,D1,2,True,"{""brightness"": 0.7, ""start_energy"": 0.3, ""end_energy"": 0.5, ""stage_count"": 3, ""target_minutes"": 40, ""interpretation_summary"": ""러닝을 위한 준비와 본 운동, 마지막은 스트레칭으로 몸과 마음을 편안하게"", ""tags"": [""러닝"", ""스트레칭"", ""운동"", ""준비""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.5,3.0,,"[0.3, 0.4, 0.5]"
baseline,D1,3,True,"{""brightness"": 0.7, ""start_energy"": 0.3, ""end_energy"": 0.85, ""stage_count"": 3, ""stage_energies"": [0.3, 0.7, 0.85], ""target_minutes"": 40, ""interpretation_summary"": ""러닝을 위한 준비와 본 운동, 마무리 스트레칭으로 가득한 플레이리스트"", ""tags"": [""러닝"", ""준비운동"", ""스트레칭"", ""운동""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.85,3.0,"[0.3, 0.7, 0.85]","[0.3, 0.7, 0.85]"
baseline,D1,4,True,"{""brightness"": 0.8, ""start_energy"": 0.2, ""end_energy"": 0.9, ""stage_count"": 4, ""target_minutes"": 40, ""interpretation_summary"": ""러닝을 위한 준비와 본 운동, 마무리까지의 스트레칭으로 가득한 플레이리스트"", ""tags"": [""러닝"", ""스트레칭"", ""운동"", ""준비""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.9,4.0,,"[0.2, 0.43333333333333335, 0.6666666666666666, 0.8999999999999999]"
candidate_A,A1,0,True,"{""brightness"": -0.2, ""start_energy"": 0.3, ""end_energy"": 0.3, ""stage_count"": 2, ""target_minutes"": null, ""interpretation_summary"": ""장마철의 서정적인 분위기를 즐겁게 날려주는 노래로"", ""tags"": [""장마"", ""서정"", ""꿉꿉"", ""습기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.3,2.0,,"[0.3, 0.3]"
candidate_A,A1,1,True,"{""brightness"": -0.2, ""start_energy"": 0.3, ""end_energy"": 0.3, ""stage_count"": 2, ""target_minutes"": null, ""interpretation_summary"": ""장마철의 서정적인 분위기를 즐겁게 날려주는 노래"", ""tags"": [""장마"", ""서정"", ""꿉꿉함"", ""날리기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.3,2.0,,"[0.3, 0.3]"
candidate_A,A1,2,True,"{""brightness"": -0.2, ""start_energy"": 0.3, ""end_energy"": 0.3, ""stage_count"": 2, ""target_minutes"": null, ""interpretation_summary"": ""장마철의 서정적인 분위기를 깨고 새로운 기분으로 시작하는 플레이리스트"", ""tags"": [""장마철"", ""서정"", ""새로운기분""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.3,2.0,,"[0.3, 0.3]"
candidate_A,A1,3,True,"{""brightness"": -0.2, ""start_energy"": 0.25, ""end_energy"": 0.25, ""stage_count"": 2, ""target_minutes"": null, ""interpretation_summary"": ""장마철의 서정적인 분위기를 깨고 기분을 밝게 해주는 노래로"", ""tags"": [""장마"", ""서정적"", ""꿉꿉함"", ""기분"", ""밝은""], ""song_type"": ""all"", ""same_as_previous"": false}",0.25,0.25,2.0,,"[0.25, 0.25]"
candidate_A,A1,4,True,"{""brightness"": -0.2, ""start_energy"": 0.3, ""end_energy"": 0.3, ""stage_count"": 2, ""target_minutes"": null, ""interpretation_summary"": ""장마철의 서정적인 분위기를 깨는 노래로, 기분을 밝게 해줄 음악을 찾습니다."", ""tags"": [""장마철"", ""서정적"", ""꿉꿉함"", ""기분전환""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.3,2.0,,"[0.3, 0.3]"
candidate_A,A2,0,True,"{""brightness"": 0.0, ""start_energy"": 0.4, ""end_energy"": 0.4, ""stage_count"": 2, ""target_minutes"": 40, ""interpretation_summary"": ""신나게 달리거나 조용히 가라앉는 시간"", ""tags"": [""달리기"", ""조용"", ""가라앉기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.4,0.4,2.0,,"[0.4, 0.4]"
candidate_A,A2,1,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": null, ""interpretation_summary"": ""조용히 가라앉는 음악으로 편안한 시간을 보내자"", ""tags"": [""조용"", ""편안"", ""가라앉기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
candidate_A,A2,2,True,"{""brightness"": 0.0, ""start_energy"": 0.3, ""end_energy"": 0.3, ""stage_count"": 2, ""target_minutes"": 30, ""interpretation_summary"": ""신나게 달리거나 조용히 가라앉는 음악으로 하루를 시작한다"", ""tags"": [""달리기"", ""조용"", ""신나"", ""가라앉기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.3,0.3,2.0,,"[0.3, 0.3]"
candidate_A,A2,3,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": null, ""interpretation_summary"": ""조용히 가라앉는 음악으로 편안한 시간을 보내자"", ""tags"": [""조용"", ""편안"", ""가라앉기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
candidate_A,A2,4,True,"{""brightness"": 0.0, ""start_energy"": 0.6, ""end_energy"": 0.6, ""stage_count"": 2, ""target_minutes"": 30, ""interpretation_summary"": ""신나게 달리거나 조용히 가라앉는 음악으로 하루를 시작한다"", ""tags"": [""신나게"", ""달리기"", ""조용히"", ""가라앉기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.6,0.6,2.0,,"[0.6, 0.6]"
candidate_A,A3,0,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""카페에서 편안한 분위기를 즐기는 음악"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
candidate_A,A3,1,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 60, ""interpretation_summary"": ""카페에서 편안한 분위기를 즐기기 좋은 잔잔한 플레이리스트"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
candidate_A,A3,2,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 60, ""interpretation_summary"": ""카페에서 편안한 분위기로 가득 채운 음악"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
candidate_A,A3,3,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 60, ""interpretation_summary"": ""카페에서 틀어놓을 잔잔한 분위기, 편안한 시간"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
