rank,idx,band,song,url,dist,mode_score,harmonic_ratio,contrast,rms,voiced_frac_mix,similarity_rating_1to5,listener_note
18,344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),https://youtu.be/yKkCyuTOi8Q,1.71,-0.062,0.82,22.34,0.295,0.347,5,완전 밝은 느낌.
19,97,ave_mujica,碧い瞳の中に,https://youtu.be/bLOb7kC9Jns,1.715,-0.075,0.821,22.79,0.272,0.645,-,"랭크 9번과 동일. 이 곡은 중복건이라 추후 삭제요망. 이번 연구에서도 9번에서 값을 넣었기 때문에 2번써서는 안됨. 참고로 저작권 때문에 영문명, 일어명으로 나뉜듯함. 일어명을 기준으로 하면 됨."
20,181,morfonica,メランコリックララバイ,https://youtu.be/D_uUbtZUOPc,1.795,-0.093,0.847,22.12,0.291,0.339,3,"경쾌하고 통통튀는 느낌, 그리고 캉캉 춤추는 느낌. 드럼과 기타, 베이스가 은근 중후하게 받쳐주는데, 바이올린과 보컬, 코러스가 밝게 묶어주는 느낌."
21,221,morfonica,輪舞-revolution (Cover),https://youtu.be/RquM6y7cTZU,1.795,-0.191,0.798,23.0,0.324,0.456,3,약간 가련한 느낌. 그러나 아직은 희망을 잃지 않은듯한 느낌. 템포와 리듬에서 그런 느낌을 받음.
22,229,morfonica,青空のラプソディ (Cover),https://youtu.be/ZK7DbX4BApQ,1.864,-0.206,0.832,22.78,0.346,0.324,5,완전 밝고 발랄한 느낌.
23,232,morfonica,COLORFUL BOX (Cover),https://youtu.be/bdjK1IZSudQ,1.88,-0.101,0.808,23.14,0.286,0.507,5,밝은 느낌.
24,571,roselia,BLACK SHOUT,https://youtu.be/MmnU-s1TdsI,1.89,-0.219,0.801,22.37,0.261,0.635,2,"고딕하고 경건한 느낌이 인트로를 지배, 이어 버스1로 들어서면서 파워코드가 지배적으로 들리면서 헤비한 사운드가 중후한 느낌을 받쳐줌. 그러나 가련한 느낌은 아님. 도리어 연약하지만서도 강건한 느낌."
25,184,morfonica,カラフルリバティー,https://youtu.be/HqDa4NOAt8w,1.89,-0.033,0.851,22.38,0.301,0.663,5,기타와 바이올린이 밝은 느낌을 자아내는 곡.
26,224,morfonica,Overdose (Cover),https://youtu.be/ILjUR5nQQPA,1.895,-0.044,0.828,22.33,0.287,0.56,2,"해가 다 저문 저녁같은 어두운 노래. 약간은 피폐하지만 리듬감에 절어 고통을 잊고자 몸부림치는, 몸부림이 리듬이 된건지 그런 상상이 드는 느낌. 리듬감과 사이사이 바이올린이 파고드는 선율이 이쁜 노래."
27,556,raise_a_suilen,Get Wild (Cover),https://youtu.be/ezQiWaCbpug,1.934,-0.104,0.808,21.68,0.318,0.513,3,"일렉트로 사운드가 질주감을 일으키는 노래. 그렇게 밝지도, 어둡지도 않지만, 아주 힘차게 질주하는 사이버펑크 오토바이같은 노래."
28,73,ave_mujica,"Georgette Me, Georgette You",https://youtu.be/vKDa7yfpd2M,1.955,-0.012,0.813,23.05,0.329,0.461,1,아주 가련한 선율이 인트로를 길게 감싸는 노래. 오히려 너무 슬퍼서 오페라로 절제하며 절규하는 듯한 노래. 이윽고 인트로가 끝나면 가련함을 광기로 돌변하는 노래.
29,225,morfonica,かくれんぼ (Cover),https://youtu.be/GGYr_vW75pI,1.967,-0.098,0.842,22.08,0.372,0.447,4,새벽 동틀 녘같은 밝아오는 느낌을 주는 노래.
30,227,morfonica,ALIVE (Cover),https://youtu.be/fzIHYLmJcy4,1.972,-0.004,0.822,22.72,0.33,0.449,4,"인트로 바이올린 선율이 시선을 빼앗고, 인트로 이후에는 연약하지만 희망을 외치는 느낌."
